date|time|description|vendor|amount
2025-04-29|09:55:12|eyob's test|eyob|1000.0
2025-04-29|09:55:38|eyob;s test 2|eyob|1001.0
2025-04-29|09:56:05|payment test|eric|-2345.0
2025-04-29|09:56:37|ezra|NATTA|-456.0
2025-04-29|13:43:54|salary|Year up united|50.0
2025-04-29|13:52:13|birthday cake|Caramel pastry|-55.98
2025-04-30|19:54:42|birthday gift|santa|250.0
2024-01-15|09:00:00|Consulting Payment|Freelance Co|500.00
2024-03-10|11:30:00|Travel Expense|Delta Airlines|-320.00
2024-04-05|14:00:00|Design Services|Fiverr|250.00
2024-04-20|13:15:00|Business Lunch|Chipotle|-40.75
2024-05-01|10:00:00|Software Subscription|Adobe|-29.99
2024-05-02|15:45:00|Payment Received|Acme Corp|1000.00
2024-05-03|09:20:00|Office Supplies|Office Depot|95.50
2024-12-30|16:00:00|Bonus Payment|Stripe|750.00
2025-01-10|08:50:00|License Renewal|JetBrains|-149.00
2025-02-14|11:00:00|Sales Commission|HubSpot|1200.00
2025-03-22|13:30:00|Fuel Reimbursement|Shell|60.00
2025-04-15|14:40:00|Marketing Expense|Google Ads|-450.00
2025-05-01|10:10:00|Product Purchase|Amazon|-85.00
2025-05-02|12:00:00|Client Payment|ClientX|950.00
2025-05-03|14:25:00|Tech Equipment|Best Buy|300.00
